127.0.0.1 - - [20/May/2024:18:38:19 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/home HTTP/1.1" 200 28330
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/css/style.min.css HTTP/1.1" 200 141892
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/img/carousel-2.jpg HTTP/1.1" 200 56284
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 200 9058
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/img/carousel-1.jpg HTTP/1.1" 200 59024
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/img/about.png HTTP/1.1" 200 188338
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/img/service-1.jpg HTTP/1.1" 200 45789
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/img/nguyenlieu.png HTTP/1.1" 200 220888
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/lib/tempusdominus/js/moment-timezone.min.js HTTP/1.1" 200 32832
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/img/service-3.jpg HTTP/1.1" 200 26254
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/mail/contact.js HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 200 56879
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/img/service-4.jpg HTTP/1.1" 200 36410
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/img/tragung.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/img/menu-3.jpg HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/img/suanong.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/img/trachanh.avif HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/img/sinhto.jpg HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/img/nuoccam.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/mail/jqBootstrapValidation.min.js HTTP/1.1" 200 14877
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/js/main.js HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/img/testimonial-1.jpg HTTP/1.1" 200 4925
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/img/testimonial-2.jpg HTTP/1.1" 200 5114
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/img/testimonial-3.jpg HTTP/1.1" 200 5311
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/img/overlay-bottom.png HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/img/overlay-top.png HTTP/1.1" 200 2674
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/img/testimonial-4.jpg HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/img/bg.jpg HTTP/1.1" 200 178492
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /cafe/template/web/lib/tempusdominus/js/moment.min.js HTTP/1.1" 200 326657
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:20 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:33 +0700] "GET /cafe/DatDoUong HTTP/1.1" 200 13689
0:0:0:0:0:0:0:1 - - [20/May/2024:18:38:33 +0700] "GET /cafe/img/signature.png HTTP/1.1" 404 1104
